Name,Department,Salary
Diane Lewis,Sales,81284
Thomas Armstrong,Marketing,119922
Felicia Vaughn,Marketing,118874
Joshua Daugherty,Sales,95277
Rachel Compton,HR,55316
Brendan Garner,Operations,64463
Tracy Mccoy,Finance,115739
Victor Price,Finance,44888
Sean Hahn,Legal,51325
Robert Vargas,IT,59088
Angelica Lewis,IT,114922
Jennifer Williams,Operations,116803
Chris Foster DDS,HR,55419
Frances Nelson,Operations,93749
Margaret Wilson,Marketing,85854
Alexandria Hughes,HR,42904
Lauren Kim,Sales,118966
Elizabeth Smith,Legal,103556
Justin Murphy,Finance,60700
Peter Hardy,IT,67633
Tyler Foley,HR,64055
Julia Jones,HR,58642
Heather Walker,Sales,93014
Peter Gonzales,Legal,98274
Stephanie Mitchell,Legal,43646
Carl Parks,Marketing,53173
Amber Kelly,Legal,47025
Edward Wilson,Marketing,52549
Amy Bowen,Legal,54853
Stacey Smith,Legal,90423
Curtis Nelson,Finance,101156
Joshua Pugh,Operations,51326
Tammy Todd,Operations,43463
Vanessa Carter DVM,IT,67163
Charles Fitzgerald,Marketing,54075
Morgan Davidson,Marketing,83315
Kayla Washington,Marketing,56010
Christina Faulkner,Operations,106433
Victoria Andrews,HR,40605
Amber Nelson,Legal,76445
Lindsay Woods,Legal,77315
Frank Sloan,Marketing,48652
Nicholas Kent,Operations,72229
Melissa Fields,Sales,70530
Karen Myers,Operations,89101
Shawn Compton,Finance,77924
Ashley Watson,Marketing,78541
Melinda Miller,IT,104658
Tyler Reyes,HR,96327
Dennis Murray,Legal,83654
Erika Savage,Sales,55930
Thomas Brewer,Operations,43518
Jacqueline Taylor,Finance,70982
Marissa Carr,HR,46775
Victoria Key,Sales,63990
Trevor Richardson,HR,45378
Veronica Mccoy,Finance,86402
Tanya Ponce MD,Finance,79441
Kimberly Morris,Marketing,111980
Seth Taylor,IT,119712
John Butler,Marketing,65060
Charles Stephens,Operations,114915
Marissa Farley,Legal,86993
Karen Walker,HR,62765
Daniel Mueller,Marketing,99053
Dana Baker,Finance,63196
Kari Rangel,Finance,55468
Michael Jones,Finance,48174
Alexander Garcia,Marketing,85820
Brian Hill,Legal,59098
Jason Scott,Operations,112582
Chloe Walker,Operations,44186
